date,status,price,buy_conf,sell_conf,buy_action,current_return,sell_action
2023-04-27,holding,15411.49,,0.9999938011169434,,1.0834758143210264,HOLD
2023-04-28,holding,15579.18,,0.9999938011169434,,1.0952649443339904,HOLD
2023-05-02,holding,15636.48,,0.9999938011169434,,1.09929331304854,HOLD
2023-05-03,holding,15553.41,,0.9999938011169434,,1.093453232959227,HOLD
2023-05-04,holding,15609.03,,0.9999938011169434,,1.0973634924339783,HOLD
2023-05-05,holding,15626.07,,0.9999938011169434,,1.098561457580504,HOLD
2023-05-08,holding,15699.57,,0.9999938011169434,,1.1037287368216804,HOLD
2023-05-09,holding,15727.7,,0.9999938011169434,,1.105706363557113,HOLD
2023-05-10,holding,15641.76,,0.9999938011169434,,1.0996645135164775,HOLD
2023-05-11,holding,15514.64,,0.9999938011169434,,1.0907275810384052,HOLD
2023-05-12,holding,15502.36,,0.9999938011169434,,1.0898642587379745,HOLD
2023-05-15,holding,15475.05,,0.9999938011169434,,1.0879442805600628,HOLD
2023-05-16,holding,15673.9,,0.9999938011169434,,1.1019240557588097,HOLD
2023-05-17,holding,15925.29,,0.9999938011169434,,1.119597556826011,HOLD
2023-05-18,holding,16101.88,,0.9999938011169434,,1.1320123845974301,HOLD
2023-05-19,holding,16174.92,,0.9999938011169434,,1.1371473244038999,HOLD
2023-05-22,holding,16180.89,,0.9999938011169434,,1.1375670340238972,HOLD
2023-05-23,holding,16188.03,,0.9999938011169434,,1.1380689982930403,HOLD
2023-05-24,holding,16159.32,,0.9999938011169434,,1.1360505957486298,HOLD
2023-05-25,holding,16292.0,,0.9999938011169434,,1.1453784135679395,HOLD
2023-05-26,holding,16505.05,,0.9999938011169434,,1.1603564930554577,HOLD
2023-05-29,holding,16636.3,,0.9999938011169434,,1.169583777414701,HOLD
2023-05-30,holding,16622.74,,0.9999938011169434,,1.1686304671220435,HOLD
2023-05-31,holding,16578.96,,0.9999938011169434,,1.1655525965753943,HOLD
2023-06-01,holding,16512.65,,0.9999938011169434,,1.1608907967593074,HOLD
2023-06-02,holding,16706.91,,0.9999938011169434,,1.1745478806421767,HOLD
2023-06-05,holding,16714.43,,0.9999938011169434,,1.175076560096512,HOLD
2023-06-06,holding,16761.66,,0.9999938011169434,,1.1783969764034612,HOLD
2023-06-07,holding,16922.48,,0.9999938011169434,,1.1897031239893925,HOLD
2023-06-08,holding,16733.69,,0.9999938011169434,,1.1764305981670569,HOLD
2023-06-09,holding,16886.4,,0.9999938011169434,,1.187166587458486,HOLD
2023-06-12,holding,16955.37,,0.9999938011169434,,1.1920153935709203,HOLD
2023-06-13,holding,17216.6,,0.9999938011169434,,1.2103806773283687,HOLD
